dep,nomdep,pop2017,propf2017,propf0142017,propf15392017,propf40592017,propf60p2017,prop0142017,prop15392017,prop40592017,prop60p2017,pop2018,propf2018,propf0142018,propf15392018,propf40592018,propf60p2018,prop0142018,prop15392018,prop40592018,prop60p2018,pop2019,propf2019,propf0142019,propf15392019,propf40592019,propf60p2019,prop0142019,prop15392019,prop40592019,prop60p2019,pop2020,propf2020,propf0142020,propf15392020,propf40592020,propf60p2020,prop0142020,prop15392020,prop40592020,prop60p2020,pop2021,propf2021,propf0142021,propf15392021,propf40592021,propf60p2021,prop0142021,prop15392021,prop40592021,prop60p2021,pop2022,propf2022,propf0142022,propf15392022,propf40592022,propf60p2022,prop0142022,prop15392022,prop40592022,prop60p2022
57,MOSELLE,1045466,0.50922936,0.48525324,0.48819825,0.50444889,0.55456603,0.17071813,0.29481304,0.27810088,0.25636798,1045908,0.50915188,0.4848828,0.48851332,0.50428921,0.55312759,0.17051212,0.29174268,0.27618492,0.26156029,1046640,0.50912923,0.48460552,0.48888388,0.50416011,0.55181652,0.17039575,0.28866562,0.27422035,0.26671827,1047728,0.50905961,0.48444152,0.48917946,0.50398153,0.55047643,0.17041828,0.28561419,0.27220136,0.27176616,1049211,0.50894815,0.48416215,0.48937002,0.50375938,0.54927832,0.17051575,0.28261235,0.27012965,0.27674225,1051196,0.50882614,0.48398101,0.48945367,0.50358486,0.54811662,0.17067416,0.27971569,0.26801661,0.28159353
58,NIEVRE,207384,0.52078271,0.49767441,0.48420462,0.51062715,0.56040156,0.14617811,0.23170544,0.25704491,0.36507156,205829,0.520845,0.49906617,0.48330018,0.51139784,0.55903977,0.14567432,0.22954005,0.25340939,0.37137625,204378,0.52093667,0.50016838,0.48245898,0.51250148,0.55769253,0.14528961,0.22747555,0.24970397,0.37753084,203164,0.52106673,0.5024609,0.48165527,0.51313603,0.55636704,0.14501093,0.22551732,0.24599339,0.38347837,202090,0.52113414,0.50430447,0.48083949,0.51406467,0.55493969,0.14484635,0.22351922,0.24240685,0.38922757,201163,0.52126884,0.50635433,0.4802199,0.51464957,0.55377197,0.14472841,0.22153677,0.23889086,0.394844
59,NORD,2607816,0.51722133,0.49051097,0.50012016,0.50867683,0.57613307,0.19771142,0.32710245,0.25378361,0.22140251,2612969,0.51709491,0.49088612,0.50000709,0.50811529,0.57479417,0.19715044,0.32486877,0.25286484,0.22511595,2618227,0.5169552,0.49127707,0.49987394,0.50752568,0.57348967,0.19659716,0.32264543,0.25195485,0.22880255,2623566,0.51680726,0.49163651,0.49972939,0.50695169,0.57221961,0.19606063,0.32043371,0.25103962,0.23246604,2629151,0.51664513,0.49197477,0.49958107,0.50632435,0.57101154,0.19554906,0.31822631,0.2501241,0.23610055,2634892,0.51648188,0.49227402,0.49941215,0.50576061,0.56983167,0.19504215,0.31602243,0.24923299,0.23970242
60,OISE,826795,0.50957495,0.4878656,0.50010961,0.50057513,0.55288345,0.20353533,0.2978707,0.27443683,0.22415714,830837,0.50975943,0.48734075,0.50104445,0.5,0.55261451,0.20322759,0.2944296,0.273801,0.22854182,835041,0.50995219,0.48681718,0.5020864,0.49942121,0.55229491,0.20298524,0.29100606,0.27311713,0.23289156,839472,0.51011825,0.48634332,0.50308567,0.49883246,0.5519504,0.20284536,0.28760937,0.27241409,0.23713119,844156,0.51025522,0.48569945,0.50404066,0.49830374,0.55166441,0.20278479,0.28423065,0.27166781,0.24131677,849133,0.51043713,0.48503038,0.50513172,0.49787411,0.55138516,0.20285279,0.28089356,0.27088806,0.24536556
61,ORNE,290260,0.51327085,0.48434082,0.48979965,0.50125337,0.55585557,0.17006822,0.2447013,0.26113141,0.32409909,295411,0.51263833,0.48439777,0.4880859,0.50065184,0.55464059,0.16955699,0.24150759,0.25965858,0.32927683,300693,0.51216024,0.48448098,0.48662633,0.50009662,0.55371344,0.16918585,0.23847578,0.25815368,0.33418471,306241,0.5115546,0.48436171,0.48508704,0.49942756,0.55270994,0.16892578,0.23560528,0.25669324,0.33877566,312017,0.51101702,0.48448539,0.4835003,0.49898949,0.55170709,0.16877286,0.23289756,0.25531623,0.34301338,318019,0.51040661,0.48414031,0.48220891,0.49837828,0.55071795,0.16872577,0.2303856,0.2540037,0.34688494
62,PAS-DE-CALAIS,1472867,0.51592577,0.49326983,0.4911868,0.5053941,0.57593554,0.19717258,0.29821295,0.26136711,0.24324736,1475272,0.51567781,0.49401566,0.49005529,0.50547737,0.57417238,0.19657867,0.29588714,0.2598199,0.24771433,1477983,0.5154193,0.49488798,0.48887497,0.50549376,0.57245946,0.19601715,0.29359674,0.25826144,0.2521247,1480915,0.51514703,0.49570492,0.48773199,0.5054664,0.57078999,0.19549873,0.29131112,0.25669399,0.25649616,1484222,0.51486838,0.49653113,0.48656964,0.50540841,0.56918979,0.19500586,0.28903425,0.25512895,0.26083094,1487913,0.514561,0.4973402,0.48536575,0.50530231,0.56763422,0.19456513,0.28675735,0.2535679,0.2651096
63,PUY-DE-DOME,653821,0.51733887,0.4901216,0.50070751,0.50316054,0.56514412,0.16427432,0.29507312,0.26567516,0.27497742,657369,0.51743543,0.4894526,0.50183177,0.50275695,0.56433642,0.1648511,0.29274121,0.26402676,0.27838093,661099,0.51755333,0.48920593,0.50289357,0.50225389,0.56357193,0.16550018,0.2903907,0.26241153,0.2816976,664990,0.5176484,0.48871338,0.50402498,0.50186563,0.56273746,0.16621152,0.28805545,0.26076031,0.2849727,669053,0.51772732,0.48818186,0.50508952,0.5013873,0.56207758,0.1670047,0.28574419,0.25910804,0.2881431,673269,0.51777965,0.48764443,0.50613481,0.50087672,0.56142133,0.16775613,0.28350925,0.25751075,0.29122385
64,PYRENEES-ATLANTIQUES,677631,0.52067721,0.4914237,0.49480134,0.51193094,0.5669561,0.15933746,0.26711884,0.27205515,0.30148858,681434,0.52081347,0.49176228,0.4951117,0.51224393,0.56579995,0.15899265,0.26493102,0.2705119,0.30556443,685465,0.5209223,0.49228477,0.49525613,0.51250535,0.56471348,0.15874042,0.26278073,0.26895756,0.30952129,689758,0.52102911,0.49268645,0.49546978,0.51283997,0.56361872,0.15858606,0.26066098,0.26737493,0.31337804,694218,0.52115619,0.49320361,0.49575531,0.51314986,0.56253749,0.15843005,0.25859025,0.26580554,0.31717414,699006,0.5212788,0.49365842,0.4959603,0.51356739,0.56151259,0.15836488,0.25657147,0.26424381,0.32081985
65,HAUTES-PYRENEES,227907,0.52130914,0.48407,0.49194631,0.51633441,0.56224972,0.14791121,0.24189691,0.26942569,0.34076619,228210,0.5218308,0.48458752,0.49357143,0.51680464,0.56108022,0.14755708,0.23925331,0.2667543,0.34643531,228629,0.52226532,0.48541296,0.4948909,0.51716197,0.5599125,0.14722542,0.23671101,0.26403475,0.35202885,229299,0.52271491,0.48625892,0.49600461,0.51765096,0.55892652,0.14710487,0.23413534,0.26140541,0.35735437,230082,0.52303964,0.48667672,0.49727094,0.51791084,0.55791342,0.14696065,0.23172173,0.25879905,0.36251858,231088,0.52351487,0.48762375,0.49840528,0.51830465,0.55714875,0.14685315,0.2292936,0.256266,0.36758724
66,PYRENEES-ORIENTALES,478440,0.52454227,0.49048111,0.50839424,0.51720273,0.56075537,0.16621938,0.25447288,0.25733635,0.32197142,482947,0.52450061,0.49126768,0.50874269,0.5161345,0.5602026,0.16598509,0.25223473,0.25596389,0.3258163,487519,0.52445138,0.49191463,0.50918829,0.51510316,0.55961591,0.16578841,0.25002924,0.25458086,0.32960153,492206,0.52438611,0.49273816,0.50947833,0.51404822,0.55906039,0.16562578,0.24789417,0.25323138,0.33324867,496917,0.52435923,0.49352986,0.50986254,0.51302904,0.55855471,0.16546828,0.24577343,0.25191733,0.33684096,501703,0.52433014,0.49437213,0.51023144,0.51205641,0.55803084,0.16539666,0.24370992,0.25063035,0.34026307
